Postcode,Long,Lat,SA3,SA4,SA1,SA2,0–4,5–11,12–15,16–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total
822,136.4612078,-13.98119125,70205,702,70204106205,702041062,,,,,,,,,,,,,,,,,,,
822,136.5909616,-13.91698485,70205,702,70204106209,702041062,,,,,,,,,,,,,,,,,,,
822,133.3848319,-12.9305044,70205,702,31501139606,315011396,,,,,,,,,,,,,,,,,,,
822,130.3496894,-11.6035121,70205,702,70203106001,702031060,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70103103401,701031034,,,,,,,,,,,,,,,,,,,
822,130.6831805,-12.53818467,70205,702,70203105702,702031057,,,,,,,,,,,,,,,,,,,
822,131.1942977,-12.50224007,70205,702,70103103508,701031035,,,,,,,,,,,,,,,,,,,
822,130.9175773,-12.68983104,70205,702,70103103502,701031035,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203105717,702031057,,,,,,,,,,,,,,,,,,,
822,131.8449886,-13.50171859,70205,702,70203105808,702031058,,,,,,,,,,,,,,,,,,,
822,130.6320309,-12.79290292,70205,702,70203105708,702031057,,,,,,,,,,,,,,,,,,,
822,130.5103483,-12.62538633,70205,702,70203105708,702031057,,,,,,,,,,,,,,,,,,,
822,130.9320173,-13.17350435,70205,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
822,130.8605303,-12.55219169,70205,702,70103103501,701031035,,,,,,,,,,,,,,,,,,,
822,130.8766339,-12.45079537,70205,702,70102101501,701021015,,,,,,,,,,,,,,,,,,,
822,130.8116588,-12.84045347,70205,702,70203105708,702031057,,,,,,,,,,,,,,,,,,,
822,131.4120025,-14.5318367,70205,702,70203105808,702031058,,,,,,,,,,,,,,,,,,,
822,132.1914189,-11.34530652,70205,702,70203106107,702031061,,,,,,,,,,,,,,,,,,,
822,130.9188279,-12.90975469,70205,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
822,131.1688363,-13.02119253,70205,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203105708,702031057,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203106107,702031061,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203105807,702031058,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70101100210,701011002,,,,,,,,,,,,,,,,,,,
822,131.038648,-12.91652424,70205,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
822,130.995425,-12.505532,70205,702,70203105702,702031057,,,,,,,,,,,,,,,,,,,
